Model,Base Price,Dest. Charge,Tax Credit,Effective Price,Drive,Battery,EPA,0-60,Top
"2022 Lucid Air Grand Touring 19""","$139,000","+$1,500","$7,500","$133,000",AWD,112,516 mi,3.0,168 mph
"2022 Lucid Air Grand Touring 21""","$139,000","+$1,500","$7,500","$133,000",AWD,112,469 mi,3.0,168 mph
2022 Mazda MX-30,"$33,470","+$1,175","$7,500","$27,145",FWD,35.5,100 mi, ,87 mph
"2022 Mercedes EQS 450+ (RWD; 20"")","$102,310","+$1,050","$7,500","$95,860",RWD,115*,350 mi,5.9,130 mph
"2022 Mercedes EQS 580 4MATIC (AWD; 21"")","$119,110","+$1,050","$7,500","$112,660",AWD,115*,340 mi,4.1,130 mph
2022 MINI Cooper SE,"$29,900",+$850,"$7,500","$23,250",FWD,32.6,114 mi,6.9,93 mph
"2023 Nissan Ariya Venture+ FWD 19""","$45,950","+$1,175","$7,500","$39,625",FWD,91,300 mi*,7.2, 
"2023 Nissan Ariya Evolve+ FWD 19""","$48,950","+$1,175","$7,500","$42,625",FWD,91,285 mi*,7.2, 
"2023 Nissan Ariya Premiere FWD 19"" (limited)","$53,450","+$1,175","$7,500","$47,125",FWD,91,285 mi*,7.2, 
"2023 Nissan Ariya Platinum+ e-4ORCE AWD 19""","$58,950","+$1,175","$7,500","$52,625",AWD,91,265 mi*,4.8, 
2022 Nissan LEAF S (40 kWh),"$27,400",+$975,"$7,500","$20,875",FWD,40,149 mi,7.4*,90 mph
2022 Nissan LEAF e+ S (62 kWh),"$32,400",+$975,"$7,500","$25,875",FWD,62,226 mi,6.5*, 
2022 Nissan LEAF e+ SV (62 kWh),"$37,400",+$975,"$7,500","$30,875",FWD,62,215 mi,6.5*, 
"2022 Polestar 2 Single Motor 19""","$45,900","+$1,300","$7,500","$39,700",FWD,78,270 mi,7.0,100 mph
"2022 Polestar 2 Dual Motor 19""","$49,900","+$1,300","$7,500","$43,700",AWD,78,249 mi,4.5,127 mph
"2022 Porsche Taycan (79 kWh) 19""","$82,700","+$1,350","$7,500","$76,550",RWD,79.2,200 mi,5.1,143 mph
"2022 Porsche Taycan (93 kWh) 19""","$88,480","+$1,350","$7,500","$82,330",RWD,93.4,225 mi,5.1,143 mph
"2022 Porsche Taycan 4S (79 kWh) 19""","$103,800","+$1,350","$7,500","$97,650",AWD,79.2,199 mi,3.8,155 mph
"2022 Porsche Taycan 4S (93 kWh) 19""","$109,370","+$1,350","$7,500","$103,220",AWD,93.4,227 mi,3.8,155 mph
"2022 Porsche Taycan GTS (93 kWh) 20""","$131,400","+$1,350","$7,500","$125,250",AWD,93.4, ,3.5,155 mph
"2022 Porsche Taycan Turbo (93 kWh) 20""","$150,900","+$1,350","$7,500","$144,750",AWD,93.4,212 mi,3.0,161 mph
"2022 Porsche Taycan Turbo S (93 kWh) 21""","$185,000","+$1,350","$7,500","$178,850",AWD,93.4,201 mi,2.6,161 mph
"2022 Porsche Taycan 4 Cross Turismo 19""","$93,700","+$1,350","$7,500","$87,550",AWD,93.4,215 mi,4.8,137 mph
"2022 Porsche Taycan 4S Cross Turismo 19""","$110,300","+$1,350","$7,500","$104,150",AWD,93.4,215 mi,3.9,149 mph
